created_at	username	userid	tweet_id_str	in_reply_to_user_id	text
Sun Jan 29 20:49:18 +0000 2017	Cory Booker	15808765	825808056869068800	null	I was deeply disappointed by what happened at Dulles last night and how the order was ignored. There must be accoun… https://t.co/GzkliVB2ug
Sun Jan 29 20:49:50 +0000 2017	Cory Booker	15808765	825808193456574467	null	RT @mitchellscomet: This is democracy. https://t.co/vJSQlj1xb9
Sun Jan 29 20:51:19 +0000 2017	Chuck Schumer	17494010	825808564799303680	null	Thank you to the attorneys, translators, &amp; other vols from non-profits &amp; firms working tirelessly at JFK to help refugees. #ourNY
Sun Jan 29 20:52:22 +0000 2017	Ed Markey	21406834	825808831741620225	null	RT @ldforry: Thank you @CAIRMass for organizing today's rally at Copley Square. Support their work &amp; @ACLU_Mass. #NoBanNoWall  #MuslimBan h…
Sun Jan 29 21:13:40 +0000 2017	Tom Udall	60828944	825814192284430337	null	There is no religious test for the American dream. @POTUS' anti-muslim immigration order is shameful. #NoBanNoWall https://t.co/y0shZhwX7n
Sun Jan 29 21:26:05 +0000 2017	JohnCornyn	13218102	825817315296083971	null	The Hill: McConnell: Trump should replace IRS commissioner https://t.co/QnfcPmuvEY
Sun Jan 29 21:26:10 +0000 2017	Senator Chris Coons	15324851	825817333901975554	null	Proud of my colleagues standing up for what makes me proud to be American #nomuslimban #RefugeesWelcome https://t.co/ztGnse97nw
Sun Jan 29 21:26:25 +0000 2017	Sen. Lamar Alexander	76649729	825817400465571841	null	RT @GOPHELP: Betsy DeVos says in letter – “I am committed to ... protecting the hard won rights of students with disabilities.” https://t.c…
Sun Jan 29 21:31:02 +0000 2017	Kamala Harris	30354991	825818562644287489	null	Let’s rise up together, just as Americans have done in generations past, to fight for the cause of justice and equa… https://t.co/sMCORgknKJ
Sun Jan 29 21:35:53 +0000 2017	Senator Tom Carper	249787913	825819780837949442	null	Stood with more than 5,000 people and counting at @PHLAirport to show the world that #refugeesarewelcomehere https://t.co/P9u0aOu7hT
Sun Jan 29 21:39:46 +0000 2017	Sen. Lisa Murkowski	18061669	825820760094699522	null	Thanks to the brave Alaskans who plunged into freezing waters to support great work of @AmericanCancer  https://t.co/yH8QAQcN8u
Sun Jan 29 21:41:50 +0000 2017	Sen. Maria Cantwell	117501995	825821278422577152	null	President Trump's executive order on immigration hurts our interests as a nation &amp; should be challenged https://t.co/8wpv5YEsA5
Sun Jan 29 21:43:56 +0000 2017	Senator Bob Casey	171598736	825821806841970689	null	RT @CBSPhilly: .@SenBobCasey, Senator Corey Booker Visit Philly To Hear Concerns From LGBT Community: https://t.co/aeTXrDBfjZ
Sun Jan 29 21:45:12 +0000 2017	Tom Cotton	968650362	825822127303557120	null	The U of A Agriculture Extension service recently held an informative Crop Production Meeting in Bald Knob. https://t.co/y0WoX91aOL
Sun Jan 29 21:49:01 +0000 2017	Sheldon Whitehouse	242555999	825823084900937733	null	I stand with those here in Providence &amp; around the US speaking up on behalf of the persecuted &amp; vulnerable to say… https://t.co/TD8LN0nB32
Sun Jan 29 21:52:01 +0000 2017	Sen. Maria Cantwell	117501995	825823842648088577	null	The executive order on immigration flies in the face of core American values &amp; hurts our interests. We cannot tolerate discrimination.
Sun Jan 29 21:54:21 +0000 2017	Brian Schatz	47747074	825824426738397184	null	That is going to backfire. https://t.co/0vRZ2CXsGp
Sun Jan 29 21:56:18 +0000 2017	Cory Booker	15808765	825824920240287745	null	RT @CNN: In an impassioned speech to protesters on Saturday night, Sen. Cory Booker described President Trump's travel ban as “a crime and…
Sun Jan 29 21:56:55 +0000 2017	Cory Booker	15808765	825825076478107649	null	RT @CattCarrera: @CoryBooker marches with protesters in Elizabeth @northjersey @tomefran #NoBanNoWall https://t.co/U9auTI9fr8
Sun Jan 29 22:02:01 +0000 2017	Shelley Moore Capito	193794406	825826356617318400	null	Glad to receive a commitment from @POTUS that he is “all for the miners” https://t.co/OMGCbdjfV9 @wchs8fox11
Sun Jan 29 22:05:38 +0000 2017	Cory Booker	15808765	825827269193117696	null	People are not tell the truth then. https://t.co/yQbgTW0q3x
Sun Jan 29 22:07:13 +0000 2017	Ed Markey	21406834	825827664724377604	null	Proud to stand against @realDonaldTrump's #MuslimBan with thousands in Copley Square. #NoBanNoWall https://t.co/SAbAEaeFOq
Sun Jan 29 22:07:32 +0000 2017	Cory Booker	15808765	825827744445452289	null	Thank you for your leadership and activism! https://t.co/xNuCBejX9J
Sun Jan 29 22:07:40 +0000 2017	Steve Daines	11651202	825827777811193858	null	We are at war w/ Islamic extremists &amp; anything less than 100% verification of these refugees backgrounds puts our national security at risk.
Sun Jan 29 22:08:05 +0000 2017	Cory Booker	15808765	825827882924642304	null	Thank you for your activism. https://t.co/qX4ErWSyQc
Sun Jan 29 22:08:08 +0000 2017	Steve Daines	11651202	825827897030111233	null	We need to take the time to examine our existing programs to ensure terrorists aren't entering our country.
Sun Jan 29 22:08:27 +0000 2017	Steve Daines	11651202	825827975753003008	null	The safety of U.S. citizens must be our number one priority.
Sun Jan 29 22:09:00 +0000 2017	Sen. Maria Cantwell	117501995	825828116929007617	null	We must continue to do our part to help Syrian refugees suffering the worst humanitarian crisis since WWII &amp; others fleeing persecution.
Sun Jan 29 22:09:17 +0000 2017	Mark Warner	7429102	825828187376644097	null	.@POTUS has created fear &amp; chaos. We're demanding the Administration provide answers on its misguided &amp; un-American… https://t.co/C2feGA23Ml
Sun Jan 29 22:10:32 +0000 2017	Cory Booker	15808765	825828502813417473	null	RT @VKtrue: Sen. @CoryBooker lends support to demonstrators at Battery Park in #NYC. 2:37pm #TrumpProtest #Refugees #PoliticsNJ #NJ #gotham…
