created_at	username	userid	tweet_id_str	in_reply_to_user_id	text
Fri Feb 03 02:36:25 +0000 2017	Ben Sasse	1480852568	827344962656296960	null	(neither is mine...) https://t.co/L85nwRcuD1
Fri Feb 03 02:32:09 +0000 2017	Ben Sasse	1480852568	827343889157804033	null	"My hope does not rest in the various branches of govt...My hope is built on nothing less than..."
-Adm. Barry Black
https://t.co/GlDgfcGJAe
Fri Feb 03 02:10:59 +0000 2017	Kamala Harris	30354991	827338565944299521	null	Please take a few moments to take our survey and tell us what issues are important to you:
https://t.co/ffUYLfgXmo
Fri Feb 03 02:03:04 +0000 2017	Chris Murphy	150078976	827336570386649089	null	Please read this entire thread on the Yemen raid from inside the Obama NSC. We need answers on why raid went so bad… https://t.co/qXEPj9hEDX
Fri Feb 03 01:56:23 +0000 2017	Elizabeth Warren	970207298	827334889003479041	null	Tonight I urged my Senate colleagues to vote no on this morally bankrupt giveaway to @exxonmobil: https://t.co/1vcJ8b3w5u
Fri Feb 03 01:55:17 +0000 2017	Elizabeth Warren	970207298	827334614414934016	null	Rex Tillerson lobbied against the rule for @exxonmobil to disclose payments to foreign govs because it hurt their business with Russia.
Fri Feb 03 01:53:54 +0000 2017	Elizabeth Warren	970207298	827334266447130624	null	The same day the Senate confirmed Rex Tillerson, the @HouseGOP passed a resolution to help @exxonmobil secretly funnel money to dictators.
Fri Feb 03 01:49:41 +0000 2017	Sen. Maggie Hassan	946549322	827333202746408960	null	I agree. Thanks to @timkaine and Tom Harkin for speaking out https://t.co/vTnMwIssxb
Fri Feb 03 01:41:00 +0000 2017	Kamala Harris	30354991	827331016926887937	null	A majority of Americans support commonsense gun safety reforms -- yet the Republicans continue to cower in fear of… https://t.co/UfwviOjJ4Z
Fri Feb 03 01:34:05 +0000 2017	Sen. Lisa Murkowski	18061669	827329279495069696	null	Judge Gorsuch is an excellent choice for the #SCOTUS who has truly a stellar legal reputation and is a worthy succe… https://t.co/zOvsjRUqM1
Fri Feb 03 01:23:29 +0000 2017	Cory Booker	15808765	827326609824833540	null	Thank you mayor for your leadership. https://t.co/YaJxq2Fw6y
Fri Feb 03 01:12:57 +0000 2017	Cory Booker	15808765	827323959502835712	null	Yes Brian, I agree. The calling makes a difference. https://t.co/OwBZ08mKxW
Fri Feb 03 01:11:07 +0000 2017	Richard Blumenthal	278124059	827323499635212289	null	Excited to welcome Kassar family home to CT, but President Trump’s illegal, immoral EO should be ripped up
Fri Feb 03 01:10:53 +0000 2017	Richard Blumenthal	278124059	827323437643337731	null	So glad the Kassar family has been reunited—but countless people are still in peril because of Trump Admin’s heartless, harmful #MuslimBan
Fri Feb 03 01:08:45 +0000 2017	Sen. Maggie Hassan	946549322	827322901548453889	null	Betsy #DeVos is unqualified and unprepared to serve as Secretary of Education. I’m voting no and I urge my colleagu… https://t.co/jDgeRYdYom
Fri Feb 03 02:49:44 +0000 2017	Senator Bob Casey	171598736	827348317466161152	null	The @SenateMajLdr and @SenateGOP are holding a 6:30am vote to cut off debate on the nomination of Betsy DeVos.
Fri Feb 03 02:52:31 +0000 2017	Senator Bob Casey	171598736	827349017268977665	171598736	.@SenateMajLdr wants to cut off debate on Betsy DeVos's nomination but constituents still have questions about her views on public schools.
Fri Feb 03 02:54:07 +0000 2017	Senator Bob Casey	171598736	827349419242684417	171598736	.@SenateMajLdr &amp; @senategop can have 6:30am vote if they choose, but it’s not early enough to sneak one past the people of Pennsylvania.
Fri Feb 03 02:56:47 +0000 2017	Senator Bob Casey	171598736	827350088775262208	171598736	Having a vote on DeVos before the sun comes up won’t paper over the serious problems with her nomination.
Fri Feb 03 03:10:42 +0000 2017	Senator Jon Tester	515822213	827353590167662592	null	I wish these brave servicemen a safe and successful deployment. Their families will be in my thoughts. https://t.co/YEpWgRFlOS
Fri Feb 03 03:14:01 +0000 2017	Kamala Harris	30354991	827354427828862977	null	Frederick Douglass, born into slavery in 1818, would later become an abolitionist, author, and civil rights activis… https://t.co/88vKJFkEXt
Fri Feb 03 03:14:48 +0000 2017	Senator Jon Tester	515822213	827354622448791553	null	I wish these brave servicemen a safe and successful deployment. Their families will be in my thoughts.… https://t.co/sQ6uaU4TsV
Fri Feb 03 04:02:20 +0000 2017	Amy Klobuchar	33537967	827366585832706048	null	I met Vladimir through @SenJohnMcCain ...An activist is mysteriously ill in Russia, and the U.S. needs to speak up https://t.co/Gbnet3Jh4L
