created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
Wed Feb 15 15:21:09 +0000 2017	|	Marco Rubio	|	15745368	|	831886069079633926	|	null	|	The Senate Intel committee I am member of will add Flynn situation to our bipartisan probe of Russia &amp; 2016 election https://t.co/AJDN105Jx5	|	$#%
Wed Feb 15 15:17:59 +0000 2017	|	Ted Cruz	|	23022687	|	831885274686844928	|	null	|	Aetna CEO: Obamacare markets are in a 'death spiral' https://t.co/Pn11bU5mtB #FullRepeal	|	$#%
Wed Feb 15 15:16:45 +0000 2017	|	Senator Bob Casey	|	171598736	|	831884963393974275	|	null	|	Congrats to Lower Merion on the championship. You inspire me with your talent, but more importantly, with the stren… https://t.co/U537RBqbxA	|	$#%
Wed Feb 15 15:15:03 +0000 2017	|	Senator Deb Fischer	|	1071402577	|	831884533918269440	|	null	|	Welcomed Kimberly Grosse, a grad of @BoysTown, to the #NebraskaBreakfast. Kimberly is in DC to testify at a congres… https://t.co/pU8dMOZdJs	|	$#%
Wed Feb 15 15:11:23 +0000 2017	|	Senator Patty Murray	|	293131808	|	831883613532729344	|	293131808	|	Murray: #Puzder’s confirmation would send a deeply harmful message to women about how this Administration views the… https://t.co/xi2oPfML2R	|	$#%
Wed Feb 15 15:09:21 +0000 2017	|	Senator Patty Murray	|	293131808	|	831883101097848832	|	293131808	|	President Trump promised to put workers first. But picking Andrew Puzder to lead @USDOL is another sign he intends to break that promise.	|	$#%
Wed Feb 15 15:09:01 +0000 2017	|	Bernie Sanders	|	29442313	|	831883014934188037	|	null	|	Today I will be asking the Senate Intelligence Committee to thoroughly investigate if Russia coordinated with Trump and his campaign.	|	$#%
Wed Feb 15 15:06:43 +0000 2017	|	Senator Patty Murray	|	293131808	|	831882439513485312	|	293131808	|	Puzder’s well-known advertisements for CKE restaurants are disgusting &amp; degrading—but his defense of ads is even worse. #AntiLaborSecretary	|	$#%
Wed Feb 15 15:05:12 +0000 2017	|	Senator Deb Fischer	|	1071402577	|	831882057403994112	|	null	|	Wonderful to meet w/ @SONebraska reps &amp; hear from John Sherbert of Minden, NE, a #SpecialOlympics athlete w/ an ins… https://t.co/juqvrbP17j	|	$#%
Wed Feb 15 15:03:51 +0000 2017	|	Senator Patty Murray	|	293131808	|	831881716113477635	|	null	|	Murray, @SenBlumenthal, advocates speaking this morning on why #Puzder can't be trusted to uphold women’s rights in the workplace.	|	$#%
Wed Feb 15 15:03:30 +0000 2017	|	John McCain	|	19394188	|	831881626716164097	|	null	|	I'll be speaking at Sen Cmte hearing soon on the importance of implementing #EndSlaveryAct #enditmovement - watch:… https://t.co/pejYIAf2iF	|	$#%
Wed Feb 15 15:02:37 +0000 2017	|	Bernie Sanders	|	29442313	|	831881404833288193	|	null	|	We need to know whether our president's foreign policy represents the best interests of this country or the best in… https://t.co/V1d5efskpW	|	$#%
Wed Feb 15 15:01:32 +0000 2017	|	Senator Thad Cochran	|	555474658	|	831881134120300548	|	null	|	10:30 am Webcast: @RoyBlunt chairs subcommittee hearing: #MentalHealth Care: Examining Treatments and Services https://t.co/mvr3bTTq2P	|	$#%
Wed Feb 15 15:00:20 +0000 2017	|	Tom Cotton	|	968650362	|	831880832801525760	|	null	|	READ “Boozman, Cotton call for assessment of detainees at GITMO” via @Region8News https://t.co/E8b5OmFBfe	|	$#%
Wed Feb 15 15:27:06 +0000 2017	|	Sherrod Brown	|	43910797	|	831887566844620801	|	null	|	Dave Spangler is one of Ohio's best advocates for Lake Erie, where he's captained boats for 20+ yrs. He &amp; I know Pr… https://t.co/aIZld1Wybo	|	$#%
Wed Feb 15 15:30:15 +0000 2017	|	Tom Cotton	|	968650362	|	831888358410485761	|	null	|	My statement on reports that Russia secretly deployed a new cruise missile: https://t.co/tEFUrUwaOW	|	$#%
Wed Feb 15 15:33:59 +0000 2017	|	Senator Chris Coons	|	15324851	|	831889299645792256	|	null	|	I know #TaxSeason can be confusing, but w/ the April 18th deadline fast approaching, I have some resources to help. https://t.co/YYCZsO3KJ2	|	$#%
Wed Feb 15 15:33:58 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	831889294679801856	|	null	|	We need a Special Counsel at @TheJusticeDept to get to bottom of who beyond Flynn was involved &amp; whether laws were… https://t.co/4BWhbhgEQT	|	$#%
