Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Sat Feb 18 16:24:44 +0000 2017	|	Senator Tim Kaine	|	172858784	|	832989233895833608	|	null	|	Thank you to members of Indivisible Richmond's organizing committee for sharing your concerns and thoughts with me… https://t.co/0XBObxvlhv	|	$#%
2	|	Sat Feb 18 16:23:06 +0000 2017	|	Rob Portman	|	18915145	|	832988823789268992	|	null	|	In Dayton earlier this week law enforcement told me the biggest problem they face is the #opioidepidemic: https://t.co/kL0LYwzMf2	|	$#%
3	|	Sat Feb 18 16:21:19 +0000 2017	|	ChuckGrassley	|	10615232	|	832988373480513536	|	null	|	Yesterday former Illinois Congressman Bob Michel died. He was Republican Whip &amp; Leader my yrs in USHouse He served Leader long afterGOOD MAN	|	$#%
4	|	Sat Feb 18 16:11:27 +0000 2017	|	Ron Wyden	|	250188760	|	832985891186487296	|	null	|	Trump has nothing to do with Russia? Not so much. https://t.co/9k5pUBgdVt	|	$#%
5	|	Sat Feb 18 15:58:35 +0000 2017	|	Sen. John Barrasso	|	202206694	|	832982652609261568	|	null	|	Welcome home @WyoGuard B Battery, 2nd Battalion, 300th Field Artillery. I had opportunity to visit them in Afghanis… https://t.co/lqbDj2Un5N	|	$#%
6	|	Sat Feb 18 15:51:09 +0000 2017	|	Sen. John Barrasso	|	202206694	|	832980785334517761	|	null	|	It was wonderful to be at the #Casper airport this morning to help welcome home 6 @WyoGuard members who are returni… https://t.co/TbMWWfYsHd	|	$#%
7	|	Sat Feb 18 15:47:56 +0000 2017	|	Kamala Harris	|	30354991	|	832979974877483008	|	null	|	A free press is the bedrock of our democracy. We can’t lose sight of that, no matter what the administration is saying.	|	$#%
8	|	Sat Feb 18 15:36:11 +0000 2017	|	Senator Bob Casey	|	171598736	|	832977017599586304	|	null	|	What an inspiring event- looking forward to seeing you all this afternoon! #THON2017 https://t.co/1j4cOurmsV	|	$#%
9	|	Sat Feb 18 15:20:27 +0000 2017	|	Senator Bob Casey	|	171598736	|	832973056599539712	|	null	|	It's fine to criticize the media, but to label the free press "the enemy of the American people" undermines our con… https://t.co/uEKFva6rWP	|	$#%
10	|	Sat Feb 18 15:00:00 +0000 2017	|	Kirsten Gillibrand	|	72198806	|	832967913132945409	|	null	|	My best wishes to the athletes who've worked hard to be able to compete in @SONYinfo! Good luck to all participating this weekend.	|	$#%
