Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Fri Nov 17 19:38:00 +0000 2017	|	Sen. Maria Cantwell	|	117501995	|	931607371717033984	|	null	|	The Senate #TaxBill forced through by Republicans has loopholes for #bigoil without fixing problems like provisions… https://t.co/p2ZatzBKJ6	|	$#%
2	|	Fri Nov 17 19:38:59 +0000 2017	|	Sen. Patrick Leahy	|	242836537	|	931607618782625792	|	88784440	|	@SenMikeLee and Leahy Intro The USA Liberty Act, With Key Privacy Improvements For FISA Section 702… https://t.co/wF12OjgrRW	|	$#%
3	|	Fri Nov 17 19:39:03 +0000 2017	|	Senator Bob Menendez	|	18695134	|	931607635664793600	|	null	|	This year’s open-enrollment period has been undermined &amp; attacked by the Trump Administration. But we can fight bac… https://t.co/bd6SU2vHIi	|	$#%
4	|	Fri Nov 17 19:43:29 +0000 2017	|	Senator Dick Durbin	|	247334603	|	931608751538352128	|	null	|	Senate Republicans are abandoning their own standards to try to ram through President Trump’s extreme judicial nomi… https://t.co/CF341xg0mU	|	$#%
5	|	Fri Nov 17 19:44:32 +0000 2017	|	Tom Udall	|	60828944	|	931609016454795264	|	null	|	Happy #NationalTakeAHikeDay! This weekend, take the opportunity to #GetOutside and explore some of #NewMexico's tre… https://t.co/Dv6k2Yto2l	|	$#%
6	|	Fri Nov 17 19:44:50 +0000 2017	|	Senator Dick Durbin	|	247334603	|	931609091956527105	|	247334603	|	In March 2009, all Republican Senators wrote to President Obama and insisted that they get to approve nominees from… https://t.co/O7ROACSFhp	|	$#%
7	|	Fri Nov 17 19:46:07 +0000 2017	|	Senator Dick Durbin	|	247334603	|	931609413131100160	|	247334603	|	That’s the 100-year-old Senate blue slip tradition, which was respected throughout the Obama Administration.  Senat… https://t.co/4TsluaCzNm	|	$#%
8	|	Fri Nov 17 19:47:08 +0000 2017	|	Senator Dick Durbin	|	247334603	|	931609669818290176	|	247334603	|	Senate Republicans have decided to give Trump nominees hearings over the objection of home state Senators.  A big giveaway to @POTUS.	|	$#%
9	|	Fri Nov 17 19:47:37 +0000 2017	|	Jim Inhofe	|	7270292	|	931609793382506496	|	null	|	Glad some well deserving Okies had the opportunity to visit D.C. today. Congratulations on your achievements. Very… https://t.co/ruunqjAr86	|	$#%
10	|	Fri Nov 17 19:47:53 +0000 2017	|	Senator Dick Durbin	|	247334603	|	931609857819635712	|	247334603	|	@POTUS That’s not all. Yesterday I said Senate Republicans should be honest and transparent about their effort to c… https://t.co/xdjRzKa9ua	|	$#%
11	|	Fri Nov 17 19:48:21 +0000 2017	|	Senator Dick Durbin	|	247334603	|	931609975243333637	|	247334603	|	@POTUS Senate Republicans blocked Obama nominees who had used marijuana after passing the bar. Now they want a more… https://t.co/0ee1e9YI1l	|	$#%
12	|	Fri Nov 17 19:48:40 +0000 2017	|	Senator Dick Durbin	|	247334603	|	931610055186804736	|	247334603	|	@POTUS I am not opposed to a more flexible standard. But it shouldn’t be a double standard for Democratic vs. Republican nominees.	|	$#%
13	|	Fri Nov 17 19:50:18 +0000 2017	|	Tom Cotton	|	968650362	|	931610466333405185	|	null	|	I’m glad to hear the Pentagon is acting on my proposal to begin research on a new ground-based cruise missile. Stat… https://t.co/JxTeNlIqkO	|	$#%
14	|	Fri Nov 17 19:59:28 +0000 2017	|	Michael F. Bennet	|	224285242	|	931612774295392256	|	null	|	Our children &amp; their children don’t have a vote in the Senate. They’re counting on us to provide them with a future… https://t.co/GpaClZSrxY	|	$#%
15	|	Fri Nov 17 20:02:20 +0000 2017	|	Senator Jerry Moran	|	18632666	|	931613493391970305	|	null	|	Good #jobs news in Wichita: https://t.co/lMguaddeZa	|	$#%
16	|	Fri Nov 17 20:03:46 +0000 2017	|	Sen. John Barrasso	|	202206694	|	931613856199249926	|	null	|	Enjoyed visiting with Wyoming #FarmBureau members from across the state at today’s annual meeting in Cheyenne. Grea… https://t.co/0qoukH1TbD	|	$#%
17	|	Fri Nov 17 20:08:40 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	931615089660178432	|	null	|	Privileged to announce 8 incredibly talented &amp; smart NDans who I nominated to attend our nation’s military academie… https://t.co/FAttaRfff9	|	$#%
18	|	Fri Nov 17 20:09:01 +0000 2017	|	Kamala Harris	|	30354991	|	931615175798611968	|	null	|	Senate Republicans are trying to pass a tax bill that would cause an estimated 13 million more Americans to be unin… https://t.co/mBMO6Cqrd6	|	$#%
19	|	Fri Nov 17 20:09:13 +0000 2017	|	Senator Pat Toomey	|	221162525	|	931615228630110208	|	null	|	Child pornography is a heinous crime. Victims need to be empowered to recover restitution from criminals who produc… https://t.co/7aVzA6Izct	|	$#%
20	|	Fri Nov 17 20:09:40 +0000 2017	|	Senator Thom Tillis	|	2964174789	|	931615341293301761	|	null	|	Fayetteville native Robert Wilkie confirmed by unanimous consent by U.S. Senate https://t.co/oFQzkw4Ocg

via @fayobserver @DrewBrooks	|	$#%
21	|	Fri Nov 17 20:12:17 +0000 2017	|	Pat Roberts	|	75364211	|	931615999480287234	|	null	|	from @GOPSenFinance, "Making History, Finance Committee Clears Comprehensive Tax Overhaul" #TaxReform https://t.co/3IFnGq1DVd	|	$#%
22	|	Fri Nov 17 20:14:30 +0000 2017	|	Johnny Isakson	|	78403308	|	931616557096194048	|	null	|	Congratulations to General Robert McMahon of @RobinsAFB_GA, confirmed by the Senate last night to be @DeptofDefense… https://t.co/ygU68yl1ZA	|	$#%
23	|	Fri Nov 17 20:16:30 +0000 2017	|	Tammy Duckworth	|	1058520120	|	931617058869121024	|	null	|	Enjoyed meeting AAPI #DACA recipients from Illinois yesterday. I will keep working in the Senate to fight for them… https://t.co/iAxBsDjLdg	|	$#%
24	|	Fri Nov 17 20:16:27 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	931617047276085248	|	null	|	"Collusion" is not a legal term in this context; conspiracy, attempt, aiding and abetting all are. "Collusion" is a… https://t.co/EYGk7jf7uz	|	$#%
25	|	Fri Nov 17 20:17:06 +0000 2017	|	Sen. Maggie Hassan	|	946549322	|	931617211994771457	|	null	|	I'm speaking out against the GOP tax plan - and will keep speaking out - because it puts corporate special interest… https://t.co/wtjFUv9kkA	|	$#%
26	|	Fri Nov 17 20:23:23 +0000 2017	|	Senator Jon Tester	|	515822213	|	931618793922711552	|	null	|	Got a glimpse of the @USCapitolTree as it passed through Great Falls last night, it’s a beauty. Can’t wait to watch… https://t.co/kY9ftMd9FE	|	$#%
27	|	Fri Nov 17 20:24:15 +0000 2017	|	Sen. Jeanne Shaheen	|	109287731	|	931619010378166272	|	null	|	My statement on the Senate Republican tax bill: https://t.co/mvRXj3cdOq	|	$#%
28	|	Fri Nov 17 20:26:14 +0000 2017	|	Dean Heller	|	266133081	|	931619511467495425	|	null	|	Thank you @PVA1946 for supporting the VA Provider Accountability Act, S. 2107, my &amp; @Sen_JoeManchin's bipartisan le… https://t.co/CyMzD4d5s7	|	$#%
29	|	Fri Nov 17 20:31:04 +0000 2017	|	Brian Schatz	|	47747074	|	931620727458996224	|	null	|	Which means this thing blows up the debt by several trillion dollars. https://t.co/xfmCYUULHF	|	$#%
30	|	Fri Nov 17 20:35:35 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	931621861926014977	|	null	|	#GOPTaxScam is a giant punch in the gut to grad students. Students making around $30k could be taxed as if they wer… https://t.co/Ni6j58aaMZ	|	$#%
31	|	Fri Nov 17 20:39:25 +0000 2017	|	Richard Shelby	|	21111098	|	931622826821505024	|	null	|	Proud of the work that is already ongoing at the @MSALSeaGrant Consortium to conduct an independent estimate of red… https://t.co/fdYG5hGEEP	|	$#%
32	|	Fri Nov 17 20:41:00 +0000 2017	|	Rob Portman	|	18915145	|	931623225263616001	|	null	|	On @FoxNews today, I discussed the Tax Cuts &amp; Jobs Act &amp; how it will help save the typical #Ohio family $2,375 annu… https://t.co/BWfviuc7IA	|	$#%
33	|	Fri Nov 17 20:42:16 +0000 2017	|	Senator Roy Blunt	|	21269970	|	931623546933207040	|	null	|	Tomorrow is #NationalAdoptionDay, an important time to think about what we can do to encourage adoption &amp; support f… https://t.co/4xAJbhBbkz	|	$#%
34	|	Fri Nov 17 20:49:41 +0000 2017	|	Chris Van Hollen	|	18137749	|	931625409690652673	|	null	|	If the House Republicans followed the rules of Truth in Advertising, this is what their bill would be called: https://t.co/0JnGq6VR4v	|	$#%
35	|	Fri Nov 17 20:51:00 +0000 2017	|	Sen. Maria Cantwell	|	117501995	|	931625742999400448	|	null	|	This #GOPTaxPlan – taxing Americans twice by not allowing them to deduct their state obligation is going along way… https://t.co/KRJjhcSeBd	|	$#%
36	|	Fri Nov 17 20:51:56 +0000 2017	|	Senator John Boozman	|	5558312	|	931625975632232450	|	null	|	Looking forward to debating the bill on the floor of the Senate very soon. Arkansas families need #taxrelief and I… https://t.co/c1u3tYmTiU	|	$#%
37	|	Fri Nov 17 20:55:59 +0000 2017	|	Bill Nelson	|	20597460	|	931626995729027074	|	null	|	We got some important Florida projects included in the defense bill Congress passed last night, including an upgrad… https://t.co/J56b5u9MPe	|	$#%
38	|	Fri Nov 17 21:00:16 +0000 2017	|	Senator Dick Durbin	|	247334603	|	931628074491367425	|	null	|	I’ve introduced legislation to ensure the FBI focuses on the real domestic terrorism threat – violent white suprema… https://t.co/BdsxOP3p9A	|	$#%
39	|	Fri Nov 17 21:00:37 +0000 2017	|	Senator Jack Reed	|	486694111	|	931628163154825216	|	null	|	Trump Admin's decision to allow the importation of hunted African #elephant &amp; #lion trophies is bad policy &amp; bad fo… https://t.co/UVXwd0AY4y	|	$#%
40	|	Fri Nov 17 21:02:28 +0000 2017	|	Sen. Maggie Hassan	|	946549322	|	931628626881269760	|	null	|	During Transgender Awareness Week, let's remember that our country derives strength from our diversity and from the… https://t.co/hESKkG9t6c	|	$#%
41	|	Fri Nov 17 21:08:56 +0000 2017	|	Sen. Patrick Leahy	|	242836537	|	931630254141079552	|	null	|	This analysis, from the highly respected, nonpartisan Joint Committee on Taxation.  Incredible that WH &amp; GOP are st… https://t.co/iRvH6HFues	|	$#%
42	|	Fri Nov 17 21:10:18 +0000 2017	|	Tom Cotton	|	968650362	|	931630599210663936	|	null	|	The NDAA conference report is a good step in the right direction, but there’s no getting around the fact that seque… https://t.co/Kz9OzuyGzY	|	$#%
43	|	Fri Nov 17 21:11:01 +0000 2017	|	Tim Kaine	|	172858784	|	931630779343556609	|	null	|	I guess when they call this a “jobs bill” they mean that, once it passes, you’ll have to get a second one. https://t.co/Ik4S4TyRNj	|	$#%
44	|	Fri Nov 17 21:11:58 +0000 2017	|	Sen. Jeanne Shaheen	|	109287731	|	931631021073879040	|	null	|	New evidence from @hrw that Rohingya women &amp; girls suffered sexual violence perpetrated by the Burmese military. Pr… https://t.co/9VRC7XYF3e	|	$#%
45	|	Fri Nov 17 21:14:00 +0000 2017	|	Sen. Maria Cantwell	|	117501995	|	931631531084283904	|	null	|	Very concerned about the level of media concentration these mergers create, and their impact on the public interest https://t.co/wNoDQU31SW	|	$#%
46	|	Fri Nov 17 21:15:14 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	931631841823657984	|	null	|	More Koch-funded anti-science mischief. They do not let up protecting their "right" to pollute. Unfortunately, they… https://t.co/330kegIxPr	|	$#%
47	|	Fri Nov 17 21:24:19 +0000 2017	|	Chuck Schumer	|	17494010	|	931634128017084418	|	null	|	The lights still aren’t back on in Puerto Rico or USVI. To add insult to injury, the Administration failed to reque… https://t.co/PR0WK8RvYq	|	$#%
48	|	Fri Nov 17 21:24:36 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	931634197608976384	|	null	|	Good for France. The 30 Euro level is pretty close to my carbon fee bill. https://t.co/DnLBnkZQwz	|	$#%
49	|	Fri Nov 17 21:26:37 +0000 2017	|	Sherrod Brown	|	43910797	|	931634707300847618	|	null	|	Sherrod’s now on Snapchat! Add SenSherrodBrown for an inside look into today’s Propel Ohio Collegiate Leadership Su… https://t.co/jRO8yO4nDg	|	$#%
50	|	Fri Nov 17 21:28:53 +0000 2017	|	Senator Jack Reed	|	486694111	|	931635275842965504	|	null	|	Watch now on FB Live: @SenWhitehouse &amp; I join @LeadingAgeRI to highlight the dire impact of GOP tax plan on RI… https://t.co/PkwLr7WUi3	|	$#%
51	|	Fri Nov 17 21:29:47 +0000 2017	|	Sen. Jeanne Shaheen	|	109287731	|	931635503341953024	|	null	|	No American should ever face discrimination because of their sexual orientation or gender identity &amp; we must contin… https://t.co/eKOEXRDNuX	|	$#%
52	|	Fri Nov 17 21:33:01 +0000 2017	|	Senator Todd Young	|	234128524	|	931636317015945224	|	null	|	Today, I was able to sit down with local business and community leaders in South Bend for an informative discussion… https://t.co/ESBnfns3A3	|	$#%
53	|	Fri Nov 17 21:37:50 +0000 2017	|	Shelley Moore Capito	|	193794406	|	931637529492803584	|	null	|	.@WOAYNewsWatch says @SenateGOP #taxreform plan would grow the economy while simplifying the tax code and reducing… https://t.co/uFz5PGH3kF	|	$#%
